レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
,tivxAddTargetKernelHoleFilling(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: the user can call to modify the processing of the kernel at 実行する-time) >）,the user can call to modify the processing of the kernel at run-time) >,the user can call to modify the processing of the kernel at 実行する-time) >,,kernels/stereo/target/vx_hole_filling_target.c,共通/その他
,tivxRemoveTargetKernelHoleFilling(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/stereo/target/vx_hole_filling_target.c,共通/その他
,tivxRegisterStereoTargetKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/stereo/target/vx_kernels_stereo_target.c,共通/その他
,tivxUnRegisterStereoTargetKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/stereo/target/vx_kernels_stereo_target.c,共通/その他
,tivxAddTargetKernelMedianFilter(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: the user can call to modify the processing of the kernel at 実行する-time) >）,the user can call to modify the processing of the kernel at run-time) >,the user can call to modify the processing of the kernel at 実行する-time) >,,kernels/stereo/target/vx_median_filter_target.c,共通/その他
,tivxRemoveTargetKernelMedianFilter(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/stereo/target/vx_median_filter_target.c,共通/その他
,tivxAddTargetKernelObstacleDetection(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: the user can call to modify the processing of the kernel at 実行する-time) >）,the user can call to modify the processing of the kernel at run-time) >,the user can call to modify the processing of the kernel at 実行する-time) >,,kernels/stereo/target/vx_obstacle_detection_target.c,共通/その他
,tivxRemoveTargetKernelObstacleDetection(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/stereo/target/vx_obstacle_detection_target.c,共通/その他
,tivxAddTargetKernelOccupancyGridDetection(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: Issue the reset command.）,Issue the reset command.,Issue the reset command.,,kernels/stereo/target/vx_occupancy_grid_detection_target.c,共通/その他
,tivxRemoveTargetKernelOccupancyGridDetection(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/stereo/target/vx_occupancy_grid_detection_target.c,共通/その他
,tivxAddTargetKernelPointCloudCreation(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: the user can call to modify the processing of the kernel at 実行する-time) >）,the user can call to modify the processing of the kernel at run-time) >,the user can call to modify the processing of the kernel at 実行する-time) >,,kernels/stereo/target/vx_point_cloud_creation_target.c,共通/その他
,tivxRemoveTargetKernelPointCloudCreation(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/stereo/target/vx_point_cloud_creation_target.c,共通/その他
,tivxAddTargetKernelSdeDisparityVisualize(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/stereo/target/vx_sde_disparity_visualize_target.c,共通/その他
,tivxRemoveTargetKernelSdeDisparityVisualize(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/stereo/target/vx_sde_disparity_visualize_target.c,共通/その他
,visualizeSdeDisparity(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,,kernels/stereo/target/vx_sde_disparity_visualize_target.c,共通/その他
,tivxAddTargetKernelSdeHistogramVisualize(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/stereo/target/vx_sde_histogram_visualize_target.c,共通/その他
,tivxRemoveTargetKernelSdeHistogramVisualize(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,,kernels/stereo/target/vx_sde_histogram_visualize_target.c,共通/その他
,visualizeSdeHistogram(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,,kernels/stereo/target/vx_sde_histogram_visualize_target.c,共通/その他
,tivxAddTargetKernelSdeTriangulation(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"scParams, pcParams",kernels/stereo/target/vx_sde_triangulation_target.c,共通/その他
,tivxRemoveTargetKernelSdeTriangulation(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"scParams, pcParams",kernels/stereo/target/vx_sde_triangulation_target.c,共通/その他
,app_deinit_aewb(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"aewbObj, AEWBObj",modules/src/app_aewb_module.c,共通/その他
,app_delete_aewb(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"aewbObj, AEWBObj",modules/src/app_aewb_module.c,共通/その他
,app_deinit_capture(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"captureObj, CaptureObj, start_frame, app_send_error_frame, tivxCaptureRegisterErrorFrame",modules/src/app_capture_module.c,共通/その他
,app_delete_capture(),フレーム取得,関数呼び出し,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"captureObj, CaptureObj, start_frame, app_send_error_frame, tivxCaptureRegisterErrorFrame",modules/src/app_capture_module.c,共通/その他
,app_deinit_display(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"displayObj, disp_params_obj, DisplayObj",modules/src/app_display_module.c,共通/その他
,app_delete_display(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"displayObj, DisplayObj, disp_params_obj",modules/src/app_display_module.c,共通/その他
,app_deinit_img_mosaic(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"imgMosaicObj, ImgMosaicObj",modules/src/app_img_mosaic_module.c,共通/その他
,app_delete_img_mosaic(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"imgMosaicObj, ImgMosaicObj",modules/src/app_img_mosaic_module.c,共通/その他
,app_deinit_ldc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"ldcObj, LDCObj, start_frame",modules/src/app_ldc_module.c,共通/その他
,app_delete_ldc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"ldcObj, LDCObj, start_frame",modules/src/app_ldc_module.c,共通/その他
,app_deinit_obj_arr_split(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"objArrSplitObj, ObjArrSplitObj",modules/src/app_obj_arr_split_module.c,共通/その他
,app_delete_obj_arr_split(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"objArrSplitObj, ObjArrSplitObj",modules/src/app_obj_arr_split_module.c,共通/その他
,app_deinit_scaler(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"scalerObj, coeff_obj, ScalerObj, start_frame",modules/src/app_scaler_module.c,共通/その他
,app_delete_scaler(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"scalerObj, ScalerObj, start_frame",modules/src/app_scaler_module.c,共通/その他
,scale_set_coeff(),その他,タスクループ,一般的な制御ロジックを実行する（注記: Copy CbCr）,Copy CbCr,Copy CbCr,,modules/src/app_scaler_module.c,共通/その他
,app_deinit_sensor(),フレーム取得,関数呼び出し,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,sensorObj,modules/src/app_sensor_module.c,共通/その他
,addParam(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"num_params, max_params",modules/src/app_tidl_module.c,共通/その他
,app_deinit_tidl(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tidlObj, createParams, TIDLObj, tivxTIDLJ7Params, tidlParams",modules/src/app_tidl_module.c,共通/その他
,app_delete_tidl(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tidlObj, TIDLObj, createParams, tivxTIDLJ7Params, tidlParams",modules/src/app_tidl_module.c,共通/その他
,createOutputTensors(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tivxTIDLJ7Params, tidlParams, numOutputBuf, _max_params, num_params, max_params",modules/src/app_tidl_module.c,共通/その他
,getQC(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,modules/src/app_tidl_module.c,共通/その他
,initParam(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"num_params, max_params, _max_params",modules/src/app_tidl_module.c,共通/その他
,app_deinit_viss(),フレーム取得,関数呼び出し,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"vissObj, VISSObj, start_frame",modules/src/app_viss_module.c,共通/その他
,app_delete_viss(),フレーム取得,関数呼び出し,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"vissObj, VISSObj, start_frame",modules/src/app_viss_module.c,共通/その他
,App_free(),その他,関数呼び出し,一般的な制御ロジックを実行する,,,"gUdmaDrvObj, Udma_DrvObj, gUdmaChObj, Udma_ChObj",platform/am62a/qnx/app_init.c,共通/その他
,appUtilsTaskInit(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う（注記: Dummy function to avoid build issues）,Dummy function to avoid build issues,Dummy function to avoid build issues,,platform/am62a/qnx/app_init.c,共通/その他
,MmuP_setConfig(),割り込み,タスクループ,"DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: L1P - 32kb$, L1D - 64kb$, L2 - 0kb$）","L1P - 32kb$, L1D - 64kb$, L2 - 0kb$","L1P - 32kb$, L1D - 64kb$, L2 - 0kb$",,platform/am62a/rtos/c7x_1/main.c,共通/その他
,appC75ClecInitDru(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,tskParams,platform/am62a/rtos/c7x_1/main.c,共通/その他
,configureC7xL1DCacheAsWriteThrough(),フレーム処理,タスクループ,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: IMPORTANT NOTE: For C7x,
 * - stack size and stack ptr MUST be 8KB aligned
 * - AND min stack size MUST be 16KB
 * - AND stack assigned for タスク コンテキスト is ""size - 8KB""
 *    - 8KB chunk for the stack area is used for 割り込み handling in this タスク コンテキスト）","IMPORTANT NOTE: For C7x,
 * - stack size and stack ptr MUST be 8KB aligned
 * - AND min stack size MUST be 16KB
 * - AND stack assigned for task context is ""size - 8KB""
 *       - 8KB chunk for the stack area is used for interrupt handling in this task context","IMPORTANT NOTE: For C7x,
 * - stack size and stack ptr MUST be 8KB aligned
 * - AND min stack size MUST be 16KB
 * - AND stack assigned for タスク コンテキスト is ""size - 8KB""
 *    - 8KB chunk for the stack area is used for 割り込み handling in this タスク コンテキスト","l1dcfg, tskParams",platform/am62a/rtos/c7x_1/main.c,共通/その他
,setC7xSnoopCfgReg(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: On reset value is 1）,On reset value is 1,On reset value is 1,"l1dcfg, tskParams",platform/am62a/rtos/c7x_1/main.c,共通/その他
,appCacheMarInit(),IPC通信,関数呼び出し,"CPU間のイベント・パラメータ更新を通知／受信する（注記: set cache, non-cache sections for C6x）","set cache, non-cache sections for C6x","set cache, non-cache sections for C6x",,platform/j721e/rtos/c66x_2/main.c,共通/その他
,appMain(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: This address is mapped to a virtual address of 0x0001_0000_0000）,This address is mapped to a virtual address of 0x0001_0000_0000,This address is mapped to a virtual address of 0x0001_0000_0000,tskParams,platform/j721e/rtos/c7x_1/main.c,共通/その他
,appDeInit(),IPC通信,関数呼び出し,"CPU間のイベント・パラメータ更新を通知／受信する（注記: Register remote service for SL2 reallocation
   * Can add more conditions if needed.）","Register remote service for SL2 reallocation
     * Can add more conditions if needed.","Register remote service for SL2 reallocation
   * Can add more conditions if needed.",,platform/j721e/rtos/common/app_init.c,共通/その他
,appIdleLoop(),その他,関数呼び出し,一般的な制御ロジックを実行する,,,,platform/j721e/rtos/common/app_init.c,共通/その他
,appLogDeviceWrite(),IPC通信,関数呼び出し,CPU間のイベント・パラメータ更新を通知／受信する,,,,platform/j721e/rtos/common/app_init.c,共通/その他
,appRegisterOpenVXTargetKernels(),表示制御,関数呼び出し,"処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: Unregister remote service for SL2 reallocation.
   * Can add more conditions if needed.）","Unregister remote service for SL2 reallocation.
     * Can add more conditions if needed.","Unregister remote service for SL2 reallocation.
   * Can add more conditions if needed.",,platform/j721e/rtos/common/app_init.c,共通/その他
,appUnRegisterOpenVXTargetKernels(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,,platform/j721e/rtos/common/app_init.c,共通/その他
,appMenuMain(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: * Close the files.）,* Close the files.,* Close the files.,,platform/j721e/rtos/common/app_run.c,共通/その他
,appRun(),IPC通信,関数呼び出し,"CPU間のイベント・パラメータ更新を通知／受信する（注記: appCliRegisterAppCmd(""app_dof_example"", ""DOF Example Demo"", app_dof_main);）","appCliRegisterAppCmd(""app_dof_example"", ""DOF Example Demo"", app_dof_main);","appCliRegisterAppCmd(""app_dof_example"", ""DOF Example Demo"", app_dof_main);",,platform/j721e/rtos/common/app_run.c,共通/その他
,appRunSampleCliApp(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,gFsAppDataBuf,platform/j721e/rtos/common/app_run.c,共通/その他
,appRunSampleCliAppSubCmd(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,gFsAppDataBuf,platform/j721e/rtos/common/app_run.c,共通/その他
,appRunTiovxConformance(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,gFsAppDataBuf,platform/j721e/rtos/common/app_run.c,共通/その他
,appRunTiovxTutorial(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,gFsAppDataBuf,platform/j721e/rtos/common/app_run.c,共通/その他
,vx_tutorial_get_char(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,gFsAppDataBuf,platform/j721e/rtos/common/app_run.c,共通/その他
,appRtosTestRegister(),IPC通信,タスクループ,CPU間のイベント・パラメータ更新を通知／受信する,,,,platform/j721e/rtos/common/app_run_rtos_test.c,共通/その他
,appRtosTestUnRegister(),IPC通信,タスクループ,CPU間のイベント・パラメータ更新を通知／受信する,,,,platform/j721e/rtos/common/app_run_rtos_test.c,共通/その他
,appRunRtosTest(),IPC通信,タスクループ,CPU間のイベント・パラメータ更新を通知／受信する,,,,platform/j721e/rtos/common/app_run_rtos_test.c,共通/その他
,appGetHostOSType(),その他,関数呼び出し,一般的な制御ロジックを実行する,,,,platform/j721e/rtos/common_qnx/app_common.c,共通/その他
,StartupEmulatorWaitFxn1(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する,,,tskParams,platform/j721s2/rtos/c7x_2/main.c,共通/その他
,Board_deinit(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: * Auto generated file）,* Auto generated file,* Auto generated file,,platform/j722s/rtos/c7x_1/generated/ti_board_config.c,共通/その他
,Board_init(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: * Auto generated file）,* Auto generated file,* Auto generated file,,platform/j722s/rtos/c7x_1/generated/ti_board_config.c,共通/その他
,Board_driversClose(),その他,関数呼び出し,一般的な制御ロジックを実行する（注記: * Auto generated file）,* Auto generated file,* Auto generated file,,platform/j722s/rtos/c7x_1/generated/ti_board_open_close.c,共通/その他
,Dpl_deinit(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: Enable 割り込み handling）,Enable interrupt handling,Enable 割り込み handling,,platform/j722s/rtos/c7x_1/generated/ti_dpl_config.c,共通/その他
,Dpl_init(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: This function is called by __system_start）,This function is called by __system_start,This function is called by __system_start,,platform/j722s/rtos/c7x_1/generated/ti_dpl_config.c,共通/その他
,__mmu_init(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: This function is called by __system_start）,This function is called by __system_start,This function is called by __system_start,,platform/j722s/rtos/c7x_1/generated/ti_dpl_config.c,共通/その他
,putchar_(),その他,HW割り込み,一般的な制御ロジックを実行する（注記: ----------- DebugP -----------）,----------- DebugP -----------,----------- DebugP -----------,,platform/j722s/rtos/c7x_1/generated/ti_dpl_config.c,共通/その他
,System_deinit(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: finally we initialize all peripheral drivers）,finally we initialize all peripheral drivers,finally we initialize all peripheral drivers,,platform/j722s/rtos/c7x_1/generated/ti_drivers_config.c,共通/その他
,System_init(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: finally we initialize all peripheral drivers）,finally we initialize all peripheral drivers,finally we initialize all peripheral drivers,,platform/j722s/rtos/c7x_1/generated/ti_drivers_config.c,共通/その他
,System_lateInit(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: * Common Functions）,* Common Functions,* Common Functions,,platform/j722s/rtos/c7x_1/generated/ti_drivers_config.c,共通/その他
,Drivers_close(),その他,関数呼び出し,一般的な制御ロジックを実行する（注記: * Auto generated file）,* Auto generated file,* Auto generated file,,platform/j722s/rtos/c7x_1/generated/ti_drivers_open_close.c,共通/その他
,Drivers_open(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う（注記: * Auto generated file）,* Auto generated file,* Auto generated file,,platform/j722s/rtos/c7x_1/generated/ti_drivers_open_close.c,共通/その他
,Pinmux_init(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う（注記: * Pinmux）,* Pinmux,* Pinmux,"gPinMuxMainDomainCfg, gPinMuxMcuDomainCfg",platform/j722s/rtos/c7x_1/generated/ti_pinmux_config.c,共通/その他
,Module_clockDisable(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,,platform/j722s/rtos/c7x_1/generated/ti_power_clock_config.c,共通/その他
,Module_clockEnable(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する（注記: * Auto generated file）,* Auto generated file,* Auto generated file,,platform/j722s/rtos/c7x_1/generated/ti_power_clock_config.c,共通/その他
,Module_clockSetFrequency(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,,platform/j722s/rtos/c7x_1/generated/ti_power_clock_config.c,共通/その他
,PowerClock_deinit(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する,,,,platform/j722s/rtos/c7x_1/generated/ti_power_clock_config.c,共通/その他
,PowerClock_init(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する,,,,platform/j722s/rtos/c7x_1/generated/ti_power_clock_config.c,共通/その他
,IpcNotify_getConfig(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する,,,tskParams,platform/j722s/rtos/c7x_1/main.c,共通/その他
,convertPhys2Virt(),その他,関数呼び出し,"一般的な制御ロジックを実行する（注記: * Description : This function converts a physical memory region address to virtual memory region address given the base addresses of both memory regions 
 * which are mapped using MMU in appMmuMap
 * Arguments:
 *   - shared_ptr : Physical pointer
 *   - virtBase  : Base address of virtual memory space
 *   - physBase  : Base address of physical memory space
 *   - size    : Size of memory space
 *   - target_ptr : Virtual pointer to be returned after conversion if shared_ptr belongs to memory space with base address physBase
 *           else, target_ptr is returned as it is without any modification）","* Description : This function converts a physical memory region address to virtual memory region address given the base addresses of both memory regions 
 *  which are mapped using MMU in appMmuMap
 *  Arguments:
 *      - shared_ptr : Physical pointer
 *      - virtBase   : Base address of virtual memory space
 *      - physBase   : Base address of physical memory space
 *      - size       : Size of memory space
 *      - target_ptr : Virtual pointer to be returned after conversion if shared_ptr belongs to memory space with base address physBase
 *                     else, target_ptr is returned as it is without any modification","* Description : This function converts a physical memory region address to virtual memory region address given the base addresses of both memory regions 
 * which are mapped using MMU in appMmuMap
 * Arguments:
 *   - shared_ptr : Physical pointer
 *   - virtBase  : Base address of virtual memory space
 *   - physBase  : Base address of physical memory space
 *   - size    : Size of memory space
 *   - target_ptr : Virtual pointer to be returned after conversion if shared_ptr belongs to memory space with base address physBase
 *           else, target_ptr is returned as it is without any modification",,platform/j742s2/rtos/c7x_1/main.c,共通/その他
,convertVirt2Phys(),その他,関数呼び出し,"一般的な制御ロジックを実行する（注記: * Description : This function converts a virtual memory region address to physical memory region address given the base addresses of both memory regions 
 * which are mapped using MMU in appMmuMap
 * Arguments:
 *   - virtAddr : Virtual pointer
 *   - virtBase  : Base address of virtual memory space
 *   - physBase  : Base address of physical memory space
 *   - size    : Size of memory space
 *   - phyAddr : Physical pointer to be returned after conversion if virtAddr belongs to memory space with base address virtBase
 *           else, phyAddr is returned as it is without any modification）","* Description : This function converts a virtual memory region address to physical memory region address given the base addresses of both memory regions 
 *  which are mapped using MMU in appMmuMap
 *  Arguments:
 *      - virtAddr : Virtual pointer
 *      - virtBase   : Base address of virtual memory space
 *      - physBase   : Base address of physical memory space
 *      - size       : Size of memory space
 *      - phyAddr :  Physical pointer to be returned after conversion if virtAddr belongs to memory space with base address virtBase
 *                     else, phyAddr is returned as it is without any modification","* Description : This function converts a virtual memory region address to physical memory region address given the base addresses of both memory regions 
 * which are mapped using MMU in appMmuMap
 * Arguments:
 *   - virtAddr : Virtual pointer
 *   - virtBase  : Base address of virtual memory space
 *   - physBase  : Base address of physical memory space
 *   - size    : Size of memory space
 *   - phyAddr : Physical pointer to be returned after conversion if virtAddr belongs to memory space with base address virtBase
 *           else, phyAddr is returned as it is without any modification",,platform/j742s2/rtos/c7x_1/main.c,共通/その他
,appCodecDeInit(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する,,,,utils/codec_wrapper/src/codec_wrapper_linux.c,共通/その他
,appCodecPrintStats(),その他,関数呼び出し,一般的な制御ロジックを実行する,,,,utils/codec_wrapper/src/codec_wrapper_linux.c,共通/その他
,Draw2D_drawCharYuv420SP(),その他,タスクループ,一般的な制御ロジックを実行する,,,"Draw2D_Obj, pObj, Draw2D_Handle",utils/draw2d/src/draw2d.c,共通/その他
,Draw2D_drawPixel(),その他,タスクループ,一般的な制御ロジックを実行する,,,"Draw2D_Obj, pObj, Draw2D_Handle",utils/draw2d/src/draw2d.c,共通/その他
,Draw2D_rgb565ToYuv444(),その他,関数呼び出し,"一般的な制御ロジックを実行する（注記: Formula used for RGB to YUV

 Y = 0.299R + 0.587G + 0.114B
 U = 0.492 (B-Y) + 128
 V = 0.877 (R-Y) + 128）","Formula used for RGB to YUV

 Y = 0.299R + 0.587G + 0.114B
 U = 0.492 (B-Y) + 128
 V = 0.877 (R-Y) + 128","Formula used for RGB to YUV

 Y = 0.299R + 0.587G + 0.114B
 U = 0.492 (B-Y) + 128
 V = 0.877 (R-Y) + 128",,utils/draw2d/src/draw2d.c,共通/その他
,Draw2D_updateBufAddr(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"Draw2D_Obj, pObj, Draw2D_clearBuf, Draw2D_Handle",utils/draw2d/src/draw2d.c,共通/その他
,Draw2D_getFontColor(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: if out of bound draw 'space' char）,if out of bound draw 'space' char,if out of bound draw 'space' char,"Draw2D_Handle, Draw2D_Obj, pObj",utils/draw2d/src/draw2d_font_bmp.c,共通/その他
,Draw2D_resetFontColor(),その他,関数呼び出し,一般的な制御ロジックを実行する（注記: Assume color format is 2 bytes per pixel）,Assume color format is 2 bytes per pixel,Assume color format is 2 bytes per pixel,,utils/draw2d/src/draw2d_font_bmp.c,共通/その他
,Draw2D_setFontColor(),その他,関数呼び出し,一般的な制御ロジックを実行する（注記: Assume color format is 2 bytes per pixel）,Assume color format is 2 bytes per pixel,Assume color format is 2 bytes per pixel,,utils/draw2d/src/draw2d_font_bmp.c,共通/その他
,appDctrlDpHpdCbFxn(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する,,,"gAppDctrlHandle, Fvid2_Handle, Dss_DctrlDpHpdCbParams, cbParams, advVpParams, Dss_DctrlAdvVpParams, drvAdvVpParams, lcdAdvSignalCfg, vpParams, Dss_DctrlVpParams",utils/dss/src/app_dctrl.c,共通/その他
,appDssDefaultSetDefaultPrm(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: ==========================================================================）,==========================================================================,==========================================================================,"dssParams, g_app_dss_default_obj, vpParams, advVpParams, overlayParams, layerParams, dsiParams",utils/dss/src/app_dss_defaults.c,共通/その他
,appDssDualDisplayDefaultSetDefaultPrm(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: ==========================================================================）,==========================================================================,==========================================================================,"dssParams, dual_display_obj, g_app_dss_dual_display_default_obj, vpParams, advVpParams, overlayParams, layerParams, dsiParams",utils/dss/src/app_dss_dual_display_defaults.c,共通/その他
,DispApp_commonInit(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: For DSS1）,For DSS1,For DSS1,"appObj, initParams, socParams, dctrlHandle, oldiParams, oldiCfg, Fvid2_Handle, instObj, hdmiCfg, i2cHandle",utils/dss/src/app_dss_mcu_plus.c,共通/その他
,DispApp_enableDisableRequiredInstance(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: ==========================================================================）,==========================================================================,==========================================================================,"appObj, initParams, socParams, dctrlHandle, oldiParams, oldiCfg, Fvid2_Handle, instObj, hdmiCfg, i2cHandle",utils/dss/src/app_dss_mcu_plus.c,共通/その他
,DispApp_initDssParams(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"Dss_DctrlVpParams, vpParams, Dss_DctrlAdvVpParams, advVpParams, Dss_DctrlOverlayParams, overlayParams, Dss_DctrlOverlayLayerParams, layerParams, Dss_DctrlGlobalDssParams, globalDssParams",utils/dss/src/app_dss_mcu_plus.c,共通/その他
,appDssConfigureBoard(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"ioExpCfg, I2C_Params, i2cParams, gI2cHandle, i2cCfg",utils/dss/src/app_dss_soc.c,共通/その他
,appDssConfigureDP(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"ioExpCfg, I2C_Params, i2cParams, gI2cHandle, i2cCfg, gI2cDsiBridgeCfg",utils/dss/src/app_dss_soc.c,共通/その他
